time,mark,price,price_next,signal,desired_pos,position,turnover,cost,gross_ret,strategy_ret,equity,event
2024-02-02,open,43075.3,43185.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-03,open,43185.9,42982.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-04,open,42982.8,42591.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-05,open,42591.3,42650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-06,open,42650.0,43085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-07,open,43085.0,44333.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-08,open,44333.7,45329.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-09,open,45329.6,47127.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-10,open,47127.1,47766.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-11,open,47766.2,48295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-12,open,48295.0,49943.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-13,open,49943.7,49750.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-14,open,49750.1,51835.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-15,open,51835.2,51947.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-16,open,51947.1,52185.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-17,open,52185.3,51700.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-18,open,51700.1,52157.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-19,open,52157.1,51771.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-20,open,51771.2,52270.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-21,open,52270.1,51866.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-22,open,51866.9,51300.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-23,open,51300.1,50739.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-24,open,50739.4,51554.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-25,open,51554.5,51733.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-26,open,51733.8,54525.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-27,open,54525.4,57066.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-28,open,57066.2,62489.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-29,open,62489.8,61180.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-01,open,61180.9,62434.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-02,open,62434.3,62028.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-03,open,62028.6,63178.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-04,open,63178.3,68338.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-05,open,68338.6,63805.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-06,open,63805.2,66098.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-07,open,66098.9,66936.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-08,open,66936.7,68333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-09,open,68333.0,68459.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-10,open,68459.1,69040.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-11,open,69040.1,72100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-12,open,72100.1,71480.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-13,open,71480.8,73089.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-14,open,73089.7,71371.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-15,open,71371.3,69488.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-16,open,69488.9,65249.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-17,open,65249.6,68355.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-18,open,68355.6,67600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-19,open,67600.0,61905.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-20,open,61905.3,67866.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-21,open,67866.1,65500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-22,open,65500.0,63810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-23,open,63810.0,64034.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-24,open,64034.4,67199.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-25,open,67199.1,69950.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-26,open,69950.1,70000.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-27,open,70000.1,69437.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-28,open,69437.2,70742.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-29,open,70742.2,69917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-30,open,69917.0,69652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-03-31,open,69652.0,71306.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-01,open,71306.7,69681.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-02,open,69681.1,65457.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-03,open,65457.6,65991.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-04,open,65991.4,68527.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-05,open,68527.4,67856.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-06,open,67856.5,68908.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-07,open,68908.6,69386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-08,open,69386.0,71650.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-09,open,71650.1,69159.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-10,open,69159.9,70612.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-11,open,70612.3,70046.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-12,open,70046.4,67199.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-13,open,67199.8,64018.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-14,open,64018.6,65700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-15,open,65700.0,63441.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-16,open,63441.8,63832.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-17,open,63832.6,61284.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-18,open,61284.4,63499.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-19,open,63499.5,63846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-20,open,63846.0,64993.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-21,open,64993.8,64953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-22,open,64953.0,66831.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-23,open,66831.4,66419.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-24,open,66419.8,64291.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-25,open,64291.3,64489.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-26,open,64489.1,63750.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-27,open,63750.8,63425.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-28,open,63425.1,63114.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-29,open,63114.1,63822.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-04-30,open,63822.1,60610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-05-01,open,60610.0,58272.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-05-02,open,58272.3,59113.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-05-03,open,59113.2,62925.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-05-04,open,62925.8,63898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-05-05,open,63898.0,64067.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-05-06,open,64067.5,63161.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
