Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-06-02,243.25,250.0,243.19,248.71,19197009.0,
2025-06-03,250.075,257.88,249.4,256.85,30380248.0,
2025-06-04,258.06,265.43,257.59,261.08,31536047.0,
2025-06-05,262.95,264.89,259.06,259.93,42334079.0,
2025-06-06,251.14,255.32,246.1348,246.93,41146653.0,
2025-06-09,245.045,248.17,241.11,244.28,25334081.0,
2025-06-10,244.215,246.2795,241.4,244.63,25491286.0,
2025-06-11,246.355,254.77,243.8,252.91,24598987.0,
2025-06-12,250.185,257.89,249.5,256.07,20410901.0,
2025-06-13,250.66,254.0,248.35,248.7,19028440.0,
2025-06-16,250.35,255.19,249.565,252.1,20363010.0,
2025-06-17,250.95,253.96,247.92,249.37,22014312.0,
2025-06-18,250.89,255.64,249.41,251.26,30435494.0,
2025-06-20,253.21,253.52,244.17,249.99,42134900.0,
2025-06-23,249.105,254.21,246.46,253.77,19747034.0,
2025-06-24,258.77,265.87,258.77,263.77,32764864.0,
2025-06-25,266.0,269.87,263.43,264.65,18894163.0,
2025-06-26,265.075,271.67,264.125,270.17,23569585.0,
2025-06-27,270.3,271.85,266.88,269.35,27477575.0,
2025-06-30,274.73,277.705,272.13,275.65,24708432.0,
2025-07-01,274.4,274.5,262.6555,264.74,28847626.0,
2025-07-02,263.99,272.0,262.73,269.9,17582090.0,
2025-07-03,270.73,275.8,270.12,275.18,10592655.0,
2025-07-07,275.13,277.56,272.66,274.18,16760617.0,
2025-07-08,276.345,276.345,271.1545,271.8,14869407.0,
2025-07-09,272.96,279.45,272.72,277.9,20133002.0,
2025-07-10,279.785,281.18,272.7,275.4,17891599.0,
2025-07-11,274.14,276.47,271.89,274.38,14274674.0,
2025-07-14,274.13,278.355,269.58,275.6,11934236.0,
2025-07-15,279.805,283.36,277.8501,280.94,17918352.0,
2025-07-16,280.105,281.51,275.67,280.81,15031022.0,
2025-07-17,281.14,288.28,279.91,286.45,17231099.0,
2025-07-18,287.11,287.53,281.0,283.34,15012409.0,
2025-07-21,283.955,290.54,283.63,288.21,17726804.0,
2025-07-22,287.655,288.0,276.43,278.59,16564831.0,
2025-07-23,276.78,284.0,273.0,283.69,20556237.0,
2025-07-24,289.79,291.2,283.5,288.71,16413778.0,
2025-07-25,288.07,292.5943,287.27,290.18,12476248.0,
2025-07-28,292.46,295.45,290.59,294.3,13683375.0,
2025-07-29,297.5,302.19,294.87,297.42,19210780.0,
2025-07-30,297.15,303.255,295.8,302.62,16738929.0,
2025-07-31,302.8,306.949,290.225,293.7,25488478.0,
2025-08-01,286.535,292.6365,281.61,288.64,21428128.0,
2025-08-04,292.2,298.48,291.4,297.72,17164629.0,
2025-08-05,297.81,301.2,291.45,292.93,18477469.0,
2025-08-06,292.9,302.81,291.9044,301.67,17392100.0,
2025-08-07,306.17,310.34,299.8807,303.76,16319444.0,
2025-08-08,304.05,307.87,302.5518,304.97,12458746.0,
2025-08-11,305.05,308.31,301.29,303.9,12396384.0,
2025-08-12,306.63,313.44,304.665,312.83,17624009.0,
2025-08-13,316.75,317.35,304.75,309.09,17371167.0,
2025-08-14,307.01,314.1651,307.0001,311.23,15717631.0,
2025-08-15,311.03,311.5,299.76,306.34,22806938.0,
2025-08-18,302.7,306.17,299.0,305.76,14724667.0,
2025-08-19,302.415,302.8999,292.39,294.91,20149581.0,
2025-08-20,295.46,295.49,281.87,291.17,23600512.0,
2025-08-21,290.06,292.385,286.17,289.6,14946309.0,
2025-08-22,291.745,300.09,289.0101,294.0,16301330.0,
2025-08-25,292.81,298.4016,291.71,294.23,15124746.0,
2025-08-26,294.35,300.2499,293.99,298.01,25689111.0,
2025-08-27,297.53,301.18,293.78,300.25,13830302.0,
2025-08-28,302.928,311.0,302.333,308.65,18907053.0,
2025-08-29,307.01,307.01,293.66,297.39,21610682.0,
2025-09-02,289.34,298.71,287.17,298.24,19693016.0,
2025-09-03,302.29,304.45,296.4,302.39,18529390.0,
2025-09-04,305.06,308.78,302.2501,306.1,31220803.0,
2025-09-05,355.78,356.34,331.42,334.89,78401554.0,
2025-09-08,342.75,354.1656,341.2501,345.65,43535639.0,
2025-09-09,349.545,350.98,335.83,336.67,26972315.0,
2025-09-10,351.52,372.97,350.55,369.57,51086826.0,
2025-09-11,371.18,374.23,358.7604,359.63,29430947.0,
2025-09-12,362.91,364.385,357.16,359.87,31949795.0,
2025-09-15,359.87,365.5,356.34,364.09,21792185.0,
2025-09-16,365.425,365.69,356.99,360.0,21306508.0,
2025-09-17,358.85,359.93,341.5,346.17,45197133.0,
2025-09-18,350.0,350.7,343.79,345.35,24663891.0,
2025-09-19,344.65,346.27,336.43,344.94,41240071.0,
2025-09-22,342.425,346.67,337.94,338.79,28660030.0,
2025-09-23,340.24,345.215,337.0216,338.94,21944079.0,
2025-09-24,339.755,340.0799,333.81,339.31,19677304.0,
2025-09-25,332.99,338.062,327.3,336.1,21678187.0,
2025-09-26,337.43,339.08,330.5801,334.53,15464697.0,
2025-09-29,336.0,341.05,327.55,327.9,21336001.0,
2025-09-30,330.12,331.05,324.61,329.91,20109459.0,
2025-10-01,328.145,337.95,324.5,333.39,21122687.0,
2025-10-02,347.61,347.61,335.25,338.18,19917622.0,
2025-10-03,341.5,344.4,335.74,338.37,14749068.0,
2025-10-06,335.92,344.13,334.56,335.49,18465729.0,
2025-10-07,337.025,338.11,326.58,336.41,18086705.0,
2025-10-08,333.82,346.54,332.62,345.5,21478344.0,
2025-10-09,345.75,347.31,340.4,345.02,17643744.0,
2025-10-10,345.39,350.6,324.05,324.63,28941011.0,
2025-10-13,352.77,359.38,343.5201,356.7,45984259.0,
2025-10-14,350.125,350.67,339.6532,344.13,22078000.0,
2025-10-15,354.47,359.4,347.5,351.33,23918539.0,
2025-10-16,356.8,363.24,349.485,354.15,20317222.0,
2025-10-17,349.61,350.97,340.78,349.33,20937936.0,
2025-10-20,353.8,356.59,347.84,349.24,15640229.0,
2025-10-21,350.0,351.1,341.31,342.66,16092578.0,
2025-10-22,347.3,348.01,335.51,340.3,19268825.0,
2025-10-23,340.4,346.57,340.4,344.29,12859162.0,
2025-10-24,352.51,358.3,350.875,354.13,16143739.0,
2025-10-27,361.54,362.75,355.08,362.05,20065771.0,
2025-10-28,362.62,374.06,362.53,372.97,21056048.0,
2025-10-29,373.19,386.48,373.19,385.98,24975209.0,
2025-10-30,386.4,386.4,370.06,376.47,24295268.0,
2025-10-31,378.27,378.82,365.1,369.63,21598441.0,
2025-11-03,372.0,374.85,361.98,362.55,17198917.0,
2025-11-04,358.52,368.95,351.0,351.94,24047461.0,
2025-11-05,350.89,364.8699,350.0913,358.98,17087644.0,
2025-11-06,360.11,363.5,352.71,355.59,19896860.0,
2025-11-07,354.185,354.5,337.27,349.43,21903223.0,
2025-11-10,357.9,360.0,354.61,358.39,16408963.0,
2025-11-11,358.97,361.885,349.67,351.96,16446800.0,
2025-11-12,358.035,358.87,351.68,355.22,12190452.0,
2025-11-13,351.58,353.55,334.16,339.98,22616621.0,
2025-11-14,331.47,344.74,329.06,342.46,18500849.0,
2025-11-17,339.815,352.2,337.52,342.65,14799565.0,
2025-11-18,343.2,347.97,335.51,340.5,21726806.0,
2025-11-19,340.705,359.69,337.8,354.42,21851875.0,
2025-11-20,366.0,376.08,345.18,346.82,28866958.0,
2025-11-21,345.155,348.6,331.8,340.2,30280339.0,
2025-11-24,347.73,382.0,347.66,377.96,47262426.0,
2025-11-25,384.93,388.13,371.75,385.03,33507573.0,
2025-11-26,385.55,399.87,383.26,397.57,28693013.0,
2025-11-28,399.35,403.0,397.16,402.96,13365500.0,
2025-12-01,394.85,395.42,385.1,386.08,23251969.0,
2025-12-02,388.31,393.5,379.79,381.57,22206951.0,
2025-12-03,380.0,382.3,370.65,380.61,21336367.0,
2025-12-04,380.68,383.89,376.53,381.03,15845862.0,
2025-12-05,386.165,393.53,385.1452,390.24,24779924.0,
2025-12-08,402.48,407.285,397.4,401.1,30410550.0,
2025-12-09,398.745,406.93,395.51,406.29,24545964.0,
2025-12-10,402.2,414.61,399.56,412.97,31530976.0,
2025-12-11,404.825,409.3,394.19,406.37,45681617.0,
2025-12-12,379.96,382.0,355.15,359.93,95588458.0,
2025-12-15,361.89,362.0,337.51,339.81,65894902.0,
2025-12-16,336.02,347.4999,335.06,341.3,58061051.0,
2025-12-17,346.61,346.61,321.42,326.02,73300901.0,
2025-12-18,336.0,336.025,323.63,329.88,54501918.0,
2025-12-19,333.335,343.45,332.5775,340.36,159095200.0,
2025-12-22,346.03,346.24,337.22,341.45,28739578.0,
2025-12-23,340.81,350.11,338.54,349.32,28232577.0,
2025-12-24,350.685,352.86,347.14,350.22,11424403.0,
2025-12-26,351.06,353.25,347.75,352.13,15028133.0,
2025-12-29,348.72,350.33,344.69,349.39,21946856.0,
2025-12-30,349.97,352.68,349.3,349.85,16633607.0,
2025-12-31,349.73,349.88,345.42,346.1,15346052.0,
2026-01-02,352.775,360.66,345.56,347.62,25398633.0,
2026-01-05,354.74,355.03,336.5,343.42,31136049.0,
2026-01-06,343.6,349.05,338.0,343.77,27135526.0,
2026-01-07,341.7,349.7,335.88,343.5,20249259.0,
2026-01-08,342.78,343.68,330.5,332.48,24385175.0,
2026-01-09,337.92,346.62,333.5,346.62,11793457.0,
