Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-07-14,501.515,503.97,501.03,503.02,12058848.0,
2025-07-15,503.02,508.3,502.79,505.82,14927202.0,
2025-07-16,505.18,506.72,501.89,505.62,15154374.0,
2025-07-17,505.68,513.37,505.62,511.7,17503129.0,
2025-07-18,514.48,514.64,507.43,510.05,21209666.0,
2025-07-21,506.705,512.09,505.55,510.06,14066805.0,
2025-07-22,510.97,511.2,505.27,505.27,13868644.0,
2025-07-23,506.75,506.79,500.7,505.87,16396585.0,
2025-07-24,508.77,513.67,507.3,510.88,16107000.0,
2025-07-25,512.465,518.29,510.3592,513.71,19125699.0,
2025-07-28,514.08,515.0,510.12,512.5,14308027.0,
2025-07-29,515.53,517.62,511.56,512.57,16469235.0,
2025-07-30,515.17,515.95,509.435,513.24,26380434.0,
2025-07-31,555.225,555.45,531.9,533.5,51617326.0,
2025-08-01,535.0,535.8,520.86,524.11,28977628.0,
2025-08-04,528.27,538.25,528.13,535.64,25349004.0,
2025-08-05,537.18,537.3,527.24,527.75,19171569.0,
2025-08-06,530.9,531.7,524.03,524.94,21355702.0,
2025-08-07,526.8,528.09,517.5511,520.84,16079144.0,
2025-08-08,522.6,524.66,519.41,522.04,15531009.0,
2025-08-11,522.3,527.59,519.72,521.77,20194372.0,
2025-08-12,523.75,530.98,522.7,529.24,18688921.0,
2025-08-13,532.11,532.7,519.37,520.58,19619160.0,
2025-08-14,522.56,525.9499,520.14,522.48,20269074.0,
2025-08-15,522.77,526.1,519.08,520.17,25213272.0,
2025-08-18,521.585,522.82,514.02,517.1,23760583.0,
2025-08-19,515.0,515.1641,508.55,509.77,21481016.0,
2025-08-20,509.865,511.0,504.44,505.72,27723025.0,
2025-08-21,503.69,507.63,502.7201,504.24,18443254.0,
2025-08-22,504.25,510.73,502.41,507.23,24324161.0,
2025-08-25,506.63,508.19,504.12,504.26,21638579.0,
2025-08-26,504.355,504.9778,498.51,502.04,30835709.0,
2025-08-27,502.0,507.29,499.9,506.74,17277893.0,
2025-08-28,507.09,511.09,505.5,509.64,18015593.0,
2025-08-29,508.66,509.6,504.4915,506.69,20961569.0,
2025-09-02,500.465,506.0,496.81,505.12,18127995.0,
2025-09-03,503.79,507.79,502.32,505.35,16345078.0,
2025-09-04,504.3,508.15,503.15,507.97,15509486.0,
2025-09-05,509.07,511.97,492.37,495.0,31994846.0,
2025-09-08,498.105,501.195,495.03,498.2,16771015.0,
2025-09-09,501.43,502.25,497.7,498.41,14410542.0,
2025-09-10,502.98,503.2299,496.72,500.37,21611816.0,
2025-09-11,502.25,503.17,497.88,501.01,18881608.0,
2025-09-12,506.65,512.55,503.85,509.9,23624884.0,
2025-09-15,508.79,515.47,507.0,515.36,17143786.0,
2025-09-16,516.88,517.23,508.6,509.04,19711922.0,
2025-09-17,510.62,511.29,505.93,510.02,15816585.0,
2025-09-18,511.49,513.07,507.66,508.45,18913696.0,
2025-09-19,510.56,519.3,510.31,517.93,52474093.0,
2025-09-22,515.59,517.74,512.545,514.45,20009314.0,
2025-09-23,513.8,514.5899,507.31,509.23,19799580.0,
2025-09-24,510.38,512.48,506.92,510.15,13533711.0,
2025-09-25,508.3,510.01,505.04,507.03,15786468.0,
2025-09-26,510.06,513.94,506.62,511.46,16213129.0,
2025-09-29,511.5,516.845,508.88,514.6,17617775.0,
2025-09-30,513.24,518.16,509.66,517.95,19728229.0,
2025-10-01,514.8,520.505,511.69,519.71,22632336.0,
2025-10-02,517.64,521.6,510.6791,515.74,21222886.0,
2025-10-03,517.1,520.49,515.0,517.35,15112321.0,
2025-10-06,518.61,531.03,518.2,528.57,21388581.0,
2025-10-07,528.285,529.8,521.44,523.98,14615208.0,
2025-10-08,523.28,526.95,523.09,524.85,13363447.0,
2025-10-09,522.335,524.325,517.4,522.4,18343602.0,
2025-10-10,519.64,523.58,509.63,510.96,24133840.0,
2025-10-13,516.41,516.41,511.68,514.05,14284238.0,
2025-10-14,510.225,515.282,506.0,513.57,14684300.0,
2025-10-15,514.955,517.19,510.0,513.43,14694654.0,
2025-10-16,512.58,516.85,508.13,511.61,15559565.0,
2025-10-17,509.04,515.48,507.31,513.58,19867765.0,
2025-10-20,514.61,518.7,513.43,516.79,14665620.0,
2025-10-21,517.5,518.69,513.04,517.66,15586204.0,
2025-10-22,521.15,525.23,517.71,520.54,18962694.0,
2025-10-23,522.46,523.95,518.61,520.56,14023532.0,
2025-10-24,522.79,525.345,520.71,523.61,15532360.0,
2025-10-27,531.78,534.58,529.01,531.52,18734716.0,
2025-10-28,550.0,553.72,540.77,542.07,29986683.0,
2025-10-29,544.94,546.27,536.7287,541.55,36023004.0,
2025-10-30,530.48,534.97,522.12,525.76,41023088.0,
2025-10-31,528.875,529.32,515.1,517.81,34006424.0,
2025-11-03,519.805,524.96,514.59,517.03,22374742.0,
2025-11-04,511.76,515.55,507.84,514.33,20958663.0,
2025-11-05,513.3,514.83,506.575,507.16,23024342.0,
2025-11-06,505.66,505.7,495.81,497.1,27406496.0,
2025-11-07,496.945,499.377,493.25,496.82,24019764.0,
2025-11-10,500.035,506.85,498.8,506.0,26101480.0,
2025-11-11,504.8,509.6,502.3488,508.68,17980020.0,
2025-11-12,509.355,511.67,499.1201,511.14,26574851.0,
2025-11-13,510.31,513.5,501.29,503.29,25273114.0,
2025-11-14,498.23,511.6,497.44,510.18,28505746.0,
2025-11-17,508.45,512.12,504.91,507.49,19092752.0,
2025-11-18,495.365,502.98,486.78,493.79,33815114.0,
2025-11-19,490.1,495.1872,482.83,487.12,23245314.0,
2025-11-20,492.71,493.57,475.5,478.43,26802542.0,
2025-11-21,478.5,478.92,468.27,472.12,31769248.0,
2025-11-24,475.0,476.9,468.02,474.0,34421046.0,
2025-11-25,474.07,479.15,464.89,476.99,28019793.0,
2025-11-26,486.31,488.31,481.2,485.5,25709079.0,
2025-11-28,487.595,492.63,486.65,492.01,14386730.0,
2025-12-01,488.435,489.8599,484.6475,486.74,23963993.0,
2025-12-02,486.715,493.4999,486.32,490.0,19562722.0,
2025-12-03,476.32,484.24,475.2,477.73,34615102.0,
2025-12-04,479.76,481.322,476.49,480.84,22318155.0,
